sentence,label,GPT3_response
"Russian regulations were simpler for students while work visas and permits were tough to come by .
",NNS," The number of the subject of the sentence is ""Russian regulations."""
"Her pulse thumped in her throat .
",NN," The subject of the sentence is ""Her."""
"Things looked bad for the bats .
",NNS," The subject of the sentence is ""things."""
"Her pulse thundered in her ears .
",NN," The subject of the sentence is ""Her."""
""" His English skills aren 't very good , are they ? ""
",NNS, They
"The bastard loved this .
",NN," The subject of the sentence is ""The bastard."""
"Flowers and fine food were the order of the day .
",NNS," The subject of the sentence is ""Flowers and fine food."""
"There were no dents .
",NNS, There is no subject in this sentence.
"The main greenhouse was magnificent .
",NN, There is no subject in this sentence.
"His secretary has been working for him for years and does her job well .
",NN, His secretary
"Spanish moss hung like spiderwebs , making the woods look even more foreboding .
",NNS," The number of the subject of the sentence is ""Spanish moss""."
"There were many rumours that the planet was a burnt-out husk of radiation . ""
",NNS," The number of the subject of the sentence ""There were many rumours that the planet was a burnt-out husk of radiation . "" is ""There""."
"The vein on his forehead throbbed and sweat soaked his collar , while his heart pounded wildly .
",NN," The subject of the sentence is ""The vein."""
""" The levels are too high .
",NNS," The number of the subject of the sentence ""The levels are too high."" is ""The levels."""
""" When did the footsteps stop ? ""
",NNS,"

There is no subject in this sentence."
"Crazy Pete 's sports bar .
",NNS, Crazy Pete's sports bar. is the subject of the sentence.
"Three rocks hisses then bang with a loud noise into the wall .
",NNS, Three
"the deputy asked , his voice lower .
",NN, There is no number in the sentence.
""" No more puppet shows .
",NN," The subject is ""No more puppet shows."""
"Things could have been far worse ; the world could have been a completely different and far more awful place .
",NNS," The number of the subject of the sentence ""Things could have been far worse ; the world could have been a completely different and far more awful place ."" is singular."
""" Lie back . ""
",NN," The subject of the sentence is ""you."""
"The colors were everywhere , some individual burning lines and some entwined like string wound into rope - stronger , thicker for being joined .
",NNS," The subject of the sentence is ""The colors."""
"My record was spotless .
",NN," The subject of the sentence is ""My record."""
""" His eyeball came out . ""
",NN," The number of the subject of the sentence ""His eyeball came out."" is ""one."""
"A smug glint entered his eyes .
",NN," The subject of the sentence is ""A smug glint."""
"The hills were rocky , a tortuous up and down .
",NNS," The subject of the sentence ""The hills were rocky , a tortuous up and down ."" is ""The hills."""
"Even the worst struggles could end in reunion .
",NNS," The subject of the sentence is ""reunion."""
"His belief in her always gave her confidence and she needed that now .
",NN," The number of the subject of the sentence is ""His""."
"Whoever is exposed , only his past generations feel the effects .
",NNS," The subject of the sentence is ""Whoever."""
""" You , a nobleman of vast wealth and prestige .
",NN," The subject of the sentence is ""You."""
"The rope around your waist will protect you if you fall . ""
",NN," The subject of the sentence is ""The rope."""
"Physical condition is good .
",NN," The subject of the sentence is ""Physical condition."""
"The static gave way to crickets .
",NN," The subject is ""The static."""
"The big sucker 's bigger than any building I 've ever worked on .
",NN," The number of the subject of the sentence is ""The big sucker."""
"The old gentleman gave her a kindly smile as he stood to greet her with a hug .
",NN," The number of the subject of the sentence ""The old gentleman gave her a kindly smile as he stood to greet her with a hug ."" is he."
"Things had settled down in the world .
",NNS," The number of the subject of the sentence ""Things had settled down in the world."" is singular."
"Did my shyness really bother him so much ?
",NNS," The subject of the sentence is ""shyness."""
"The tentacle entered the tumbler and finished the drink .
",NN," The subject number of the sentence ""The tentacle entered the tumbler and finished the drink."" is one."
"His abdomen bumped into my back and I tried to stamp down the swell inside my heart .
",NN," The number of the subject of the sentence is ""one."""
"But my well-being is not important right now .
",NN," The number of the subject of the sentence is ""1""."
"An usher accepted their tickets .
",NN," The subject is ""usher."""
"Her womb clenched on the verge of orgasm .
",NN," The subject of the sentence is ""Her womb."""
"Changing the subject , the letters and articles end so abruptly at the end of November .
",NNS," The subject of the sentence is ""the letters and articles."""
"His scowl clearly refuted her .
",NN, His scowl clearly refuted her is a sentence fragment and therefore does not have a subject.
"But her nerves were raw , and her fear was choking .
",NNS," The number of the subject of the sentence is ""1""."
"Shouts echoed through the doors and the crowd outside parted to make a path for the police .
",NNS," The subject of the sentence is ""shouts."""
"Halfway through the meeting however , terrible cramps seized her , worse than she ever remembered having and stealing her breath .
",NNS," The number of the subject of the sentence is ""Halfway."""
"Mitchell 's resistance dissolved into amusement .
",NN," The subject of the sentence is ""Mitchell."""
"The runner clutched his right side , failing to stanch a crimson bloom from seeping through his white shift .
",NN, The number of the subject of the sentence is one.
"Love turned on his heel and walked out .
",NN," The subject of the sentence ""Love turned on his heel and walked out"" is ""Love."""
"Three more rats scrambled past , knocking him over .
",NNS, The number of the subject of the sentence is three.
"Our most direct route would be to cut straight through the heart of the basin and turn into the far , southwestern end .
",NN," The number of the subject of the sentence is ""Our."""
""" Mountains , they got their dangers , just like anywhere else .
",NNS, Mountains
"Every bump and jostle , every quiver , set her teeth on edge , and she kept waiting for a huge CRACK .
",NN," The subject of the sentence is ""Every bump and jostle , every quiver , set her teeth on edge , and she kept waiting for a huge CRACK ."""
"The publisher had come through , wanting more of Jess .
",NN," The subject of the sentence is ""The publisher."""
"The pit of my stomach drops .
",NN," The number of the subject of the sentence ""The pit of my stomach drops."" is singular."
"An immense cackle rolled down the street .
",NN," The subject of the sentence is ""cackle."""
"Lots of fighting between species , even within species , and Miguel decided that females should be sequestered .
",NNS," The number of the subject of the sentence ""Lots of fighting between species , even within species , and Miguel decided that females should be sequestered .
"" is singular."
"The challenge was on the table for him to pick up .
",NN," The subject of the sentence is ""The challenge."""
"A little reluctantly I let him drag out of me what I had overheard Price say in the back of the car about the Directory .
",NN," The subject of the sentence is ""I."""
"Her eyelids remained closed and her chest beat in a steady rhythm .
",NNS," The number of the subject of the sentence is ""Her."""
"There were no signs of the dogs this morning though .
",NNS, There is no subject in this sentence.
"The throbbing spread to include a spot on the swell of her breast .
",NN," The subject of the sentence is ""The throbbing."""
"Others might use it to kill as well and escape the consequences in this fashion . ""
",NNS," The subject of the sentence is ""Others."""
"Others had no grass at all .
",NNS," The subject of the sentence is ""Others."""
"My priorities now are to put the wheels in motion to find Callahan and do some investigation on Moylan .
",NNS," The subject of the sentence is ""My priorities."""
"The drums were so loud they were all I could hear .
",NNS, drums
"Her degree was in business , too , but focused on entrepreneurship .
",NN," The number of the subject of the sentence ""Her degree was in business , too , but focused on entrepreneurship ."" is singular."
"Flowers was the surname given to bastards born of noble parents in the Reach .
",NNS," The number of the subject of the sentence is ""Flowers""."
"Two sentences into the article I knew this was the one .
",NNS, There is no subject in this sentence.
"The euphoria from having a well-deserved nap was wearing away .
",NN," The number of the subject of the sentence is ""1""."
"There are huge computer screens on one wall , one of them running a program similar to my dad 's web crawler .
",NNS," The number of the subject of the sentence is ""one."""
"The torches grew brighter when he looked at them and his headache relaxed for a moment before growing more painful .
",NNS," The number of the subject of the sentence is ""The torches."""
"There were metal bars tied to the other patient 's window panes , like railings .
",NNS, There is no subject in this sentence.
"A maw had opened through the center of the ruined building and the light flickered up from it , unholy and terrifying .
",NN," The subject of the sentence is ""A maw."""
